1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	39327	40018	446	446	28824471	24200430	632861	503467	0.9953201655843086	0.9952876844382662	0.021955684806843456	0.020804051828831084	0.12375639999974376	0.2981847145746224	2.834E-7	0.021372112779485572	0.010605525219136942	0.043263921541046135	0.022616156673263544	0.0929453968314688	0.00262218483017109	0.0056527966	0.19798887091492698	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	54067	54012	45813	45813	19127750	19113733	19127303	19113506	0.9905275166525548	0.9904325593526035	0.9999766308111019	0.9999881237223031	0.9999817605098709	0.9998826429967639	1.5688E-5	0.9999823772501913	0.9999693079083359	1.0102279119916452E-5	5.087654371330885E-6	4.4827514221584235E-5	1.0961950898561274E-7	0.7357626955	0.9999861983163241	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	54067	8606	134	134	19127750	18053240	66101	380022	0.9905275166525548	0.9993294899911771	0.003455764530590371	0.021050071898451452	0.06442650138511985	0.42253953793997007	2.88E-7	0.008529014704703332	0.004606396191395537	0.03628852133096557	0.032710750097494024	0.16068431406829517	0.008646283914577994	0.002142663	0.03923371013956399	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	54067	8611	134	134	19127750	18045108	66101	379740	0.9905275166525548	0.9993157400174766	0.003455764530590371	0.021043930576641598	0.06424525378352645	0.42253953793997007	2.878E-7	0.008527770451352699	0.004605634317410602	0.03639244784618367	0.03277701936506396	0.16051348297561072	0.008645517755502652	0.0021424917	0.03920322748179251	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	54067	40013	603	603	19127750	24221044	379826	695519	0.9905275166525548	0.9953765887323365	0.019857327704513063	0.028715483940328863	0.16361054828906135	0.334490871576722	2.787E-7	0.02387912843461403	0.014913336632953144	0.026533863842110202	0.014618997868808548	0.06166605467639003	0.0012885260479283173	0.0064507847	0.282545954583351	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	54067	40018	603	603	19127750	24200430	379825	695015	0.9905275166525548	0.9952876844382662	0.019857275424448758	0.028719117800799363	0.16366052221733235	0.335082134633782	2.787E-7	0.02388060786742377	0.01491500271656989	0.026445109182081754	0.014583557511291388	0.061818106120641786	0.001290729155476213	0.0064504397	0.2825163311187244	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	54012	8606	134	134	19113733	18053240	66045	380022	0.9904325593526035	0.9993294899911771	0.003455368974757575	0.021050071898451452	0.06405894727746214	0.4231107692129455	2.883E-7	0.008528526564086286	0.004604407207734865	0.03629204671945176	0.03271942775424426	0.16072507563933522	0.008645981225963903	0.002144549	0.039178187420151764	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	54012	8611	134	134	19113733	18045108	66045	379740	0.9904325593526035	0.9993157400174766	0.003455368974757575	0.021043930576641598	0.06387807232246008	0.4231107692129455	2.881E-7	0.008527282381947936	0.00460364630404365	0.03639435687557779	0.032784816676320605	0.16054998876149953	0.008645183051821026	0.0021443774	0.03914775983178895	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	54012	40013	602	602	19113733	24221044	379522	695517	0.9904325593526035	0.9953765887323365	0.019855985222771492	0.028715401367505	0.16310321800758956	0.3333375998612728	2.786E-7	0.023878286898752422	0.014912545551204737	0.026557534008006967	0.014624948495678212	0.061694536457341236	0.0012930102521438247	0.0064438093	0.2824282280553177	.	.
S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	54012	40018	603	603	19113733	24200430	379529	695015	0.9904325593526035	0.9952876844382662	0.019856351451597646	0.028719117800799363	0.16349399952579033	0.3354392881743792	2.79E-7	0.023880052270305152	0.01491440749378396	0.026457052907892926	0.014583538960838445	0.061822240253459324	0.001295160061838762	0.006454237	0.28239859985823723	.	.
S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	8606	8611	6996	6996	18053240	18045108	18052851	18044849	0.9993294899911771	0.9993157400174766	0.9999784526212474	0.9999856470795447	0.9999978211626623	0.9998917287656903	9.4405E-5	0.9999820498439259	0.9999693423578536	2.8243696182068795E-6	1.610147706303763E-6	6.832894758032051E-5	5.200361591563238E-7	0.6844731435	0.9999978129710674	.	.
S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	8606	40013	84	84	18053240	24221044	280241	64508	0.9993294899911771	0.9953765887323365	0.015523030768992158	0.0026633038608905534	0.1660340807922291	0.5810870751002526	2.439E-7	0.006429817087583415	0.004003903351378197	0.06588867251157067	0.044491152164114804	0.18555335679950077	0.011373965595777172	0.0017307098	0.05939865263864023	.	.
S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	8606	40018	83	83	18053240	24200430	280202	64469	0.9993294899911771	0.9952876844382662	0.015520870491944935	0.0026639609296198463	0.16442609787706305	0.5820741691441755	2.41E-7	0.006430162718332319	0.004003618018912905	0.0656452489496657	0.04438749088763806	0.18527938865460142	0.011437749720294215	0.0017098947	0.05942982246454389	.	.
S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	8611	40013	83	83	18045108	24221044	280111	64486	0.9993157400174766	0.9953765887323365	0.015522822030214514	0.002662395559828056	0.1644996371940947	0.58017818769222	2.409E-7	0.006428677348354345	0.0040030142127860545	0.0659965444424884	0.044549860693662215	0.18543461208611095	0.011386720851458787	0.0017098947	0.0593953914944451	.	.
S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	8611	40018	83	83	18045108	24200430	280111	64469	0.9993157400174766	0.9952876844382662	0.015522822030214514	0.0026639609296198463	0.16448671225695213	0.5820741691441755	2.409E-7	0.006430566958358624	0.004004129893619159	0.06574136872580025	0.04444015992730254	0.18514796636866485	0.01145046876189443	0.0017097186	0.05942667294406071	.	.
S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	40013	40018	34020	34020	24221044	24200430	24216732	24199780	0.9953765887323365	0.9952876844382662	0.9998219729918478	0.9999731409732663	0.9999938102019862	0.9999045776591835	2.1246E-5	0.9998975541257946	0.9998776539391352	3.2694399587605364E-5	1.643774064689278E-5	1.0529122447086584E-4	8.750555366799933E-7	0.7393884071	0.9999940202829947	.	.
