sample_id	metadata_blank	x	mean	ciL	ciU	type
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.845819E7	13790.0	13790.0	13790.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.8746599E7	13792.0	13792.0	13792.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.9035009E7	13792.0	13792.0	13792.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.914125E7	13793.0	13793.0	13793.0	1
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.9323418E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.9611827E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.9900236E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.0188646E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.0477055E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.0765464E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.1053873E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.1342283E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.1630692E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.1919101E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.220751E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.2495919E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.2784329E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.3072738E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.3361147E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.3649556E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.3937966E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.4226375E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.4514784E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.4803193E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.5091603E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.5380012E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.5668421E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.595683E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.6245239E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.6533649E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.6822058E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.7110467E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.7398876E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.7687286E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.7975695E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.8264104E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.8552513E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2.8840923E7	0.0	0.0	0.0	2
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	0.0	0.0	0.0	0.0	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	288409.0	14605.0	14452.12	14757.88	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	576818.0	17592.0	17441.08	17742.92	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	865227.0	19738.0	19591.0	19885.0	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	1153636.0	21419.0	21273.96	21564.04	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	1442046.0	22792.0	22648.92	22935.08	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	1730455.0	23944.0	23804.84	24083.16	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	2018864.0	24930.0	24792.8	25067.2	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	2307273.0	25788.0	25652.76	25923.24	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	2595683.0	26544.0	26412.68	26675.32	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	2884092.0	27217.0	27087.64	27346.36	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	3172501.0	27824.0	27698.56	27949.44	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	3460910.0	28374.0	28250.52	28497.48	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	3749319.0	28878.0	28758.44	28997.56	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	4037729.0	29342.0	29224.4	29459.6	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	4326138.0	29772.0	29656.36	29887.64	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	4614547.0	30173.0	30061.28	30284.72	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	4902956.0	30548.0	30438.24	30657.76	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	5191366.0	30901.0	30795.16	31006.84	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	5479775.0	31233.0	31129.12	31336.88	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	5768184.0	31548.0	31446.08	31649.92	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	6056593.0	31847.0	31749.0	31945.0	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	6345003.0	32132.0	32035.96	32228.04	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	6633412.0	32404.0	32309.92	32498.08	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	6921821.0	32664.0	32573.84	32754.16	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	7210230.0	32913.0	32824.8	33001.2	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	7498639.0	33152.0	33065.76	33238.24	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	7787049.0	33381.0	33298.68	33463.32	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	8075458.0	33602.0	33521.64	33682.36	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	8363867.0	33815.0	33736.6	33893.4	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	8652276.0	34020.0	33943.56	34096.44	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	8940686.0	34218.0	34143.52	34292.48	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	9229095.0	34410.0	34337.48	34482.52	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	9517504.0	34595.0	34526.4	34663.6	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	9805913.0	34774.0	34707.36	34840.64	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	1.0094323E7	34947.0	34882.32	35011.68	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	1.0382732E7	35115.0	35052.28	35177.72	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	1.0671141E7	35278.0	35217.24	35338.76	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	1.095955E7	35435.0	35376.2	35493.8	0
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	.	1.1247959E7	35588.0	35531.16	35644.84	0
